,c1,c2,c3
xkcd:duck egg blue,#c3fbf4,#c3fbf4,#c3fbf4
xkcd:dull blue,#49759c,#49759c,#49759c
xkcd:dull brown,#876e4b,#876e4b,#876e4b
xkcd:dull green,#74a662,#74a662,#74a662
xkcd:dull orange,#d8863b,#d8863b,#d8863b
xkcd:dull pink,#d5869d,#d5869d,#d5869d
xkcd:dull purple,#84597e,#84597e,#84597e
xkcd:dull red,#bb3f3f,#bb3f3f,#bb3f3f
xkcd:dull teal,#5f9e8f,#5f9e8f,#5f9e8f
xkcd:dull yellow,#eedc5b,#eedc5b,#eedc5b
xkcd:dusk,#4e5481,#4e5481,#4e5481
xkcd:dusk blue,#26538d,#26538d,#26538d
xkcd:dusky blue,#475f94,#475f94,#475f94
xkcd:dusky pink,#cc7a8b,#cc7a8b,#cc7a8b
xkcd:dusky purple,#895b7b,#895b7b,#895b7b
xkcd:dusky rose,#ba6873,#ba6873,#ba6873
xkcd:dust,#b2996e,#b2996e,#b2996e
xkcd:dusty blue,#5a86ad,#5a86ad,#5a86ad
xkcd:dusty green,#76a973,#76a973,#76a973
xkcd:dusty lavender,#ac86a8,#ac86a8,#ac86a8
xkcd:dusty orange,#f0833a,#f0833a,#f0833a
xkcd:dusty pink,#d58a94,#d58a94,#d58a94
xkcd:dusty purple,#825f87,#825f87,#825f87
xkcd:dusty red,#b9484e,#b9484e,#b9484e
xkcd:dusty rose,#c0737a,#c0737a,#c0737a
xkcd:dusty teal,#4c9085,#4c9085,#4c9085
xkcd:earth,#a2653e,#a2653e,#a2653e
xkcd:easter green,#8cfd7e,#8cfd7e,#8cfd7e
xkcd:easter purple,#c071fe,#c071fe,#c071fe
xkcd:ecru,#feffca,#feffca,#feffca
xkcd:egg shell,#fffcc4,#fffcc4,#fffcc4
xkcd:eggplant,#380835,#380835,#380835
xkcd:eggplant purple,#430541,#430541,#430541
xkcd:eggshell,#ffffd4,#ffffd4,#ffffd4
xkcd:eggshell blue,#c4fff7,#c4fff7,#c4fff7
xkcd:electric blue,#0652ff,#0652ff,#0652ff
xkcd:electric green,#21fc0d,#21fc0d,#21fc0d
xkcd:electric lime,#a8ff04,#a8ff04,#a8ff04
xkcd:electric pink,#ff0490,#ff0490,#ff0490
xkcd:electric purple,#aa23ff,#aa23ff,#aa23ff
xkcd:emerald,#01a049,#01a049,#01a049
xkcd:emerald green,#028f1e,#028f1e,#028f1e
xkcd:evergreen,#05472a,#05472a,#05472a
xkcd:faded blue,#658cbb,#658cbb,#658cbb
xkcd:faded green,#7bb274,#7bb274,#7bb274
xkcd:faded orange,#f0944d,#f0944d,#f0944d
xkcd:faded pink,#de9dac,#de9dac,#de9dac
xkcd:faded purple,#916e99,#916e99,#916e99
xkcd:faded red,#d3494e,#d3494e,#d3494e
xkcd:faded yellow,#feff7f,#feff7f,#feff7f
xkcd:fawn,#cfaf7b,#cfaf7b,#cfaf7b
xkcd:fern,#63a950,#63a950,#63a950
xkcd:fern green,#548d44,#548d44,#548d44
